Device_Short_Name,Device_Name,Device_UDID,Device_OS_Name,Device_OS_Version,Device_IP
S4,Samsung Galaxy-S4,4d007e0a87be40cf,Android,4.3,NA
SM-N900,Galaxy Note3, 4d00b1284fa5a079,Android,5.0,NA
